,category,beauty_scores
5194879628.jpg,urban,2
5667698922.jpg,nature,2
7358777592.jpg,people,2
3277456063.jpg,animals,3
5866178106.jpg,nature,2
4426334761.jpg,animals,3
7864498360.jpg,animals,3
7864680486.jpg,people,3
4518620887.jpg,animals,3
8120965926.jpg,animals,2
4106530301.jpg,nature,2
7688453454.jpg,nature,3
8227705.jpg,animals,1
4780856710.jpg,urban,2
3399989303.jpg,people,2
3621844364.jpg,animals,4
8445852562.jpg,urban,2
7589377862.jpg,animals,3
2518287686.jpg,people,2
49021903.jpg,animals,3
4392058600.jpg,animals,2
6107793245.jpg,people,2
2269532383.jpg,people,1
7984621328.jpg,urban,3
2245922742.jpg,urban,2
2712955792.jpg,urban,3
210138169.jpg,nature,2
8093521898.jpg,nature,2
7316739294.jpg,nature,3
3458162113.jpg,animals,3
3694710426.jpg,people,2
5796807545.jpg,people,2
4628381181.jpg,animals,2
5982317572.jpg,animals,3
1776984971.jpg,urban,2
7493980412.jpg,nature,2
7556613264.jpg,animals,3
267409272.jpg,nature,3
4574835807.jpg,urban,2
3191428445.jpg,urban,2
2210884343.jpg,urban,2
3387876484.jpg,nature,3
3461156301.jpg,animals,2
4882857425.jpg,animals,3
5231114725.jpg,urban,2
6939805813.jpg,urban,3
6802523217.jpg,people,3
3361201036.jpg,animals,2
2859819217.jpg,animals,3
8096636695.jpg,urban,3
3724341720.jpg,animals,1
2728446092.jpg,animals,2
8511844507.jpg,animals,3
5331710895.jpg,people,3
5023164277.jpg,urban,2
6323773070.jpg,people,3
2275922818.jpg,urban,3
4735877722.jpg,urban,2
180139824.jpg,urban,2
8222322083.jpg,animals,2
8025837677.jpg,people,3
7910650152.jpg,nature,2
5934413779.jpg,urban,3
778431470.jpg,urban,2
693830215.jpg,people,3
5212721236.jpg,people,3
7223870022.jpg,nature,2
7300332358.jpg,nature,2
2150062942.jpg,nature,2
4176075327.jpg,nature,2
8152944404.jpg,people,3
5856750072.jpg,urban,2
5176065142.jpg,urban,3
617394280.jpg,nature,2
8035951185.jpg,nature,3
6181157479.jpg,nature,2
6986967626.jpg,nature,3
5404312074.jpg,people,2
7173535357.jpg,people,1
3501176681.jpg,nature,2
4132663175.jpg,urban,2
5431050474.jpg,people,2
3929646644.jpg,nature,3
5938019595.jpg,animals,3
147950641.jpg,animals,2
5381970302.jpg,nature,2
6566530921.jpg,people,2
5916875840.jpg,people,3
3375627860.jpg,urban,2
6163752068.jpg,animals,3
4567260728.jpg,urban,2
5427588654.jpg,urban,2
5292683061.jpg,urban,2
4022933540.jpg,nature,2
22412729.jpg,people,3
7837306738.jpg,animals,3
7920906350.jpg,nature,3
3935745762.jpg,people,3
6145277879.jpg,animals,3
5299475856.jpg,nature,2
4955360193.jpg,animals,3
3708657552.jpg,nature,3
6101039949.jpg,urban,2
3206913459.jpg,people,3
270891582.jpg,nature,2
3968570948.jpg,nature,3
2695574268.jpg,nature,3
8501548403.jpg,people,3
7549861774.jpg,urban,1
2316515687.jpg,nature,3
3685998412.jpg,animals,3
6976747066.jpg,urban,3
5786562473.jpg,urban,3
5503230420.jpg,people,2
7183124013.jpg,urban,2
6086549325.jpg,people,3
3597245880.jpg,people,2
5322735081.jpg,urban,3
4197903211.jpg,nature,2
8123471319.jpg,nature,3
5949188051.jpg,urban,1
5436178945.jpg,nature,3
5963782255.jpg,animals,3
5554585920.jpg,animals,4
5351940424.jpg,animals,3
3676048099.jpg,animals,3
7235632264.jpg,people,1
5351229928.jpg,people,2
4274272461.jpg,urban,3
494059057.jpg,people,2
6903422852.jpg,nature,2
2908750431.jpg,urban,2
1147029586.jpg,nature,2
126509990.jpg,animals,2
3415154223.jpg,animals,2
4463278677.jpg,urban,2
8026712898.jpg,nature,2
3189771450.jpg,animals,2
5969791519.jpg,urban,2
3579996242.jpg,animals,2
5287988668.jpg,urban,2
4548759929.jpg,animals,2
6256050082.jpg,animals,3
35769005.jpg,nature,2
6189841456.jpg,animals,2
7340411.jpg,animals,2
4943609306.jpg,nature,2
8155322757.jpg,nature,2
2801071835.jpg,nature,2
5024072585.jpg,animals,3
3367215684.jpg,nature,2
6039304438.jpg,people,2
7187615943.jpg,urban,2
3287881998.jpg,nature,3
7932891184.jpg,nature,2
6392658271.jpg,people,3
8181129093.jpg,people,3
4673958530.jpg,animals,3
3754811880.jpg,nature,2
2384478345.jpg,animals,3
6934008906.jpg,people,3
7473769978.jpg,urban,2
8086562485.jpg,people,3
6811881921.jpg,urban,3
515889466.jpg,nature,1
2127013985.jpg,nature,3
5481480425.jpg,people,1
6232017429.jpg,animals,3
351176568.jpg,urban,2
6927472693.jpg,nature,2
7117723993.jpg,people,2
6337663345.jpg,nature,2
4688790209.jpg,nature,1
4961821549.jpg,nature,2
4969957439.jpg,nature,2
5381687922.jpg,nature,2
7062991333.jpg,nature,2
4085733067.jpg,nature,2
7746612288.jpg,animals,2
7563129630.jpg,people,3
3751402986.jpg,urban,2
39281386.jpg,nature,2
7969277370.jpg,urban,2
4970681991.jpg,nature,1
2722353070.jpg,people,3
3478318349.jpg,people,3
2548545238.jpg,nature,3
8483917052.jpg,people,3
6142427579.jpg,nature,2
3964851604.jpg,urban,2
5057927639.jpg,urban,2
4610893925.jpg,people,2
5208532605.jpg,urban,3
8069925295.jpg,people,3
6382679681.jpg,nature,2
10445544.jpg,urban,2
6783228083.jpg,people,2
5049256137.jpg,urban,3
6311965305.jpg,nature,2
8063373614.jpg,urban,2
6982302493.jpg,people,2
5871384792.jpg,animals,1
4142836106.jpg,animals,3
7250975178.jpg,people,1
141809526.jpg,urban,2
5970969019.jpg,urban,2
199745615.jpg,urban,2
3777417916.jpg,animals,3
2654873676.jpg,urban,2
1907944597.jpg,animals,3
7316099766.jpg,urban,2
7815640680.jpg,animals,2
63529070.jpg,urban,1
6943235775.jpg,nature,2
2390510954.jpg,animals,2
5705443946.jpg,people,2
1361530486.jpg,nature,2
3012057424.jpg,animals,2
6685235701.jpg,urban,2
3447472566.jpg,nature,2
4315117023.jpg,nature,3
4196240547.jpg,urban,2
77204586.jpg,nature,2
537754895.jpg,animals,2
6038881753.jpg,people,2
8432019276.jpg,nature,2
5219956034.jpg,urban,2
15975916.jpg,people,1
7829551238.jpg,nature,2
6887737714.jpg,animals,2
4146974494.jpg,urban,3
5921182860.jpg,nature,2
4656707004.jpg,people,3
4272681463.jpg,nature,2
3586182951.jpg,animals,3
4215256817.jpg,urban,2
2615648289.jpg,urban,3
4704138203.jpg,animals,3
7525640086.jpg,urban,2
2646584912.jpg,nature,3
4891632313.jpg,animals,2
2323561760.jpg,people,3
3590886325.jpg,animals,3
