#flickr_photo_id	category	beauty_scores
5194879628	urban	3,3,3,3,4
2344252524	urban	3,4,3,4,3
5667698922	nature	3,3,3,3,3
7358777592	people	4,4,4,3,2
3277456063	animals	4,4,4,4,4
5866178106	nature	3,4,3,3,3
8032854457	people	3,4,3,4,4
4426334761	animals	3,5,5,2,3
7864498360	animals	4,4,4,4,4
7864680486	people	4,4,4,3,4
4518620887	animals	3,4,3,4,4
8120965926	animals	3,3,3,4,3
4106530301	nature	3,3,3,3,3
7688453454	nature	4,4,3,3,4
8227705	animals	2,1,2,2,2
4780856710	urban	3,3,3,3,3,3
3399989303	people	3,3,3,3,3,3,3,4,3,4
3621844364	animals	4,5,5,4,5
7420708952	animals	4,4,4,4,4,3,4,3,3,4
7878462854	people	3,3,3,4,4
78678715	nature	3,4,4,4,4,4
8445852562	urban	3,4,3,3,4
7589377862	animals	4,4,4,4,5
2518287686	people	4,3,2,3,3
49021903	animals	4,5,5,3,5
4392058600	animals	3,3,3,3,3,3
6107793245	people	3,3,3,4,3
2269532383	people	2,3,3,2,2
7984621328	urban	5,3,3,4,4
2245922742	urban	3,3,3,3,3,3,3
2712955792	urban	4,4,4,5,4,5
210138169	nature	4,3,3,3,3
8093521898	nature	2,3,3,3,3,3
7316739294	nature	4,5,3,4,4
3458162113	animals	3,3,3,3,4,5
6966143248	people	3,4,5,4,4
3694710426	people	3,3,3,3,4
5796807545	people	2,3,3,3,3
3418082203	people	4,4,2,4,3
4628381181	animals	3,4,4,3,3,3
5982317572	animals	3,4,5,4,3
1776984971	urban	3,4,3,4,3
7941271972	nature	4,3,3,3,3
7493980412	nature	3,3,3,3,4
7556613264	animals	4,4,5,4,5
267409272	nature	4,4,3,3,4
4574835807	urban	3,4,3,4,3,3
3191428445	urban	4,3,5,3,3,3,3,4,3,2
2210884343	urban	3,4,4,3,3
3387876484	nature	4,3,5,2,4
3461156301	animals	4,3,3,3,3
4882857425	animals	4,4,4,4,5
5231114725	urban	3,2,2,3,3,4
6939805813	urban	4,4,4,4,5,4
174611827	nature	4,3,4,4,3
6802523217	people	5,3,4,4,4
3361201036	animals	3,3,3,3,3,3
2859819217	animals	4,4,4,5,5
8096636695	urban	4,4,5,3,4
3724341720	animals	2,2,3,2,2
2728446092	animals	3,3,3,3,3,3,3,3,3,3
8511844507	animals	4,4,5,4,4,4,4,4,4,4
5331710895	people	2,4,4,4,4
5023164277	urban	3,3,3,3,3
6323773070	people	4,4,4,4,3
2275922818	urban	3,4,3,4,5,4
4735877722	urban	3,3,2,4,3
180139824	urban	2,4,3,3,2
8222322083	animals	4,3,3,3,3
8025837677	people	5,4,4,4,3
7910650152	nature	3,3,3,3,3
5934413779	urban	5,4,3,4,5
778431470	urban	3,3,3,3,3
693830215	people	5,4,5,4,4
5212721236	people	5,4,5,4,4
7223870022	nature	3,3,3,3,2
7300332358	nature	3,4,3,3,3
2150062942	nature	3,3,3,4,3
4176075327	nature	2,3,5,4,4,4,1,1,5,1
8152944404	people	4,4,5,4,5
5856750072	urban	3,3,4,4,3
5176065142	urban	4,4,5,4,4,4,5,4,3,5
617394280	nature	3,3,4,3,4
6900640931	nature	3,3,3,3,5
8035951185	nature	3,3,4,4,4
6181157479	nature	4,3,3,3,2
6986967626	nature	5,3,4,3,4
5404312074	people	3,3,3,3,3,3,3,3,3,3
7173535357	people	2,2,2,2,2
3501176681	nature	2,4,4,2,3
4132663175	urban	3,3,3,3,3
5431050474	people	3,3,3,4,3
3929646644	nature	4,3,4,4,3
5938019595	animals	4,3,4,4,4
147950641	animals	3,3,3,3,3,3,3,3,3,4
5381970302	nature	4,3,4,3,3
6566530921	people	4,3,3,3,3
5916875840	people	4,4,4,4,3
3375627860	urban	3,3,3,4,3
6163752068	animals	4,3,4,4,4
4567260728	urban	3,3,3,3,3
5427588654	urban	4,3,3,3,3
5292683061	urban	3,4,4,3,3
4022933540	nature	3,3,3,3,3
22412729	people	3,4,3,4,5
7837306738	animals	4,4,4,4,4
7920906350	nature	4,3,4,4,4
3935745762	people	4,4,4,3,3
6145277879	animals	4,3,4,4,4,4,3,4,5,5
5299475856	nature	3,3,3,3,3
4955360193	animals	4,3,4,4,3,3,3,3,4,4
3708657552	nature	5,4,4,4,4,4,4,4,3,3,5,5,4,4,4
6866999006	people	3,3,3,3,3,3,3,3,4,3
6101039949	urban	3,4,3,3,3
3206913459	people	4,4,5,5,4
270891582	nature	3,4,4,4,3,3,3,3,3,3
3968570948	nature	3,4,4,3,4,4,4,4,3,3
2695574268	nature	3,4,4,3,4
8501548403	people	4,4,3,4,4
7549861774	urban	3,2,2,3,2
2316515687	nature	4,4,3,4,4
3685998412	animals	4,5,4,4,5,5
6976747066	urban	4,4,4,3,3
5786562473	urban	4,3,4,4,3,3
5503230420	people	3,3,3,3,4
7183124013	urban	4,3,3,4,3
6086549325	people	4,4,4,3,3
3597245880	people	3,3,3,3,3
8313382065	people	2,4,4,3,2,3,4,2,3,3
5322735081	urban	5,4,5,5,4,4,4
4197903211	nature	3,3,3,3,3
8123471319	nature	5,3,5,3,3,4,4,5,5,5,3,5,5,4,4
5949188051	urban	2,2,2,2,2
5436178945	nature	4,4,3,3,4
5963782255	animals	4,4,5,4,4,4,4,3,4,5
5554585920	animals	5,5,5,4,4
5351940424	animals	3,4,4,4,5
3676048099	animals	4,4,4,3,3
7235632264	people	2,2,2,2,2
5351229928	people	3,3,3,3,3
4274272461	urban	3,4,4,3,4
494059057	people	3,2,3,4,4
6903422852	nature	3,3,3,4,4
2908750431	urban	3,3,3,3,4
1147029586	nature	4,4,2,3,3
126509990	animals	3,3,3,2,3,3
3415154223	animals	4,3,3,3,3
4463278677	urban	4,2,3,3,4,3
8026712898	nature	4,3,4,3,3
3189771450	animals	3,4,3,3,3,3,3,3,3,4
5969791519	urban	3,3,3,3,3
3579996242	animals	3,3,3,3,4
7994110532	people	4,3,4,4,3
5287988668	urban	2,3,4,3,3
4548759929	animals	4,3,4,3,3
6256050082	animals	4,3,3,4,4
35769005	nature	3,3,3,4,3,3,3,4,4,3
7522155270	people	5,5,4,4,5
6189841456	animals	4,3,4,3,3
7340411	animals	4,4,3,3,3,3,3,4,3,3
4943609306	nature	3,3,4,3,4
8155322757	nature	3,3,3,2,3
2801071835	nature	2,3,3,3,3
5024072585	animals	4,4,4,4,3
3367215684	nature	3,3,3,3,3
6039304438	people	3,3,3,3,3
