,#flickr_photo_id,category,beauty_scores
0,5194879628,urban,"3,3,3,3,4"
1,5667698922,nature,"3,3,3,3,3"
2,7358777592,people,"4,4,4,3,2"
3,3277456063,animals,"4,4,4,4,4"
4,5866178106,nature,"3,4,3,3,3"
5,4426334761,animals,"3,5,5,2,3"
6,7864498360,animals,"4,4,4,4,4"
7,7864680486,people,"4,4,4,3,4"
8,4518620887,animals,"3,4,3,4,4"
9,8120965926,animals,"3,3,3,4,3"
10,4106530301,nature,"3,3,3,3,3"
11,7688453454,nature,"4,4,3,3,4"
12,8227705,animals,"2,1,2,2,2"
13,4780856710,urban,"3,3,3,3,3,3"
14,3399989303,people,"3,3,3,3,3,3,3,4,3,4"
15,3621844364,animals,"4,5,5,4,5"
16,8445852562,urban,"3,4,3,3,4"
17,7589377862,animals,"4,4,4,4,5"
18,2518287686,people,"4,3,2,3,3"
19,49021903,animals,"4,5,5,3,5"
20,4392058600,animals,"3,3,3,3,3,3"
21,6107793245,people,"3,3,3,4,3"
22,2269532383,people,"2,3,3,2,2"
23,7984621328,urban,"5,3,3,4,4"
24,2245922742,urban,"3,3,3,3,3,3,3"
25,2712955792,urban,"4,4,4,5,4,5"
26,210138169,nature,"4,3,3,3,3"
27,8093521898,nature,"2,3,3,3,3,3"
28,7316739294,nature,"4,5,3,4,4"
29,3458162113,animals,"3,3,3,3,4,5"
30,3694710426,people,"3,3,3,3,4"
31,5796807545,people,"2,3,3,3,3"
32,4628381181,animals,"3,4,4,3,3,3"
33,5982317572,animals,"3,4,5,4,3"
34,1776984971,urban,"3,4,3,4,3"
35,7493980412,nature,"3,3,3,3,4"
36,7556613264,animals,"4,4,5,4,5"
37,267409272,nature,"4,4,3,3,4"
38,4574835807,urban,"3,4,3,4,3,3"
39,3191428445,urban,"4,3,5,3,3,3,3,4,3,2"
40,2210884343,urban,"3,4,4,3,3"
41,3387876484,nature,"4,3,5,2,4"
42,3461156301,animals,"4,3,3,3,3"
43,4882857425,animals,"4,4,4,4,5"
44,5231114725,urban,"3,2,2,3,3,4"
45,6939805813,urban,"4,4,4,4,5,4"
46,6802523217,people,"5,3,4,4,4"
47,3361201036,animals,"3,3,3,3,3,3"
48,2859819217,animals,"4,4,4,5,5"
49,8096636695,urban,"4,4,5,3,4"
50,3724341720,animals,"2,2,3,2,2"
51,2728446092,animals,"3,3,3,3,3,3,3,3,3,3"
52,8511844507,animals,"4,4,5,4,4,4,4,4,4,4"
53,5331710895,people,"2,4,4,4,4"
54,5023164277,urban,"3,3,3,3,3"
55,6323773070,people,"4,4,4,4,3"
56,2275922818,urban,"3,4,3,4,5,4"
57,4735877722,urban,"3,3,2,4,3"
58,180139824,urban,"2,4,3,3,2"
59,8222322083,animals,"4,3,3,3,3"
60,8025837677,people,"5,4,4,4,3"
61,7910650152,nature,"3,3,3,3,3"
62,5934413779,urban,"5,4,3,4,5"
63,778431470,urban,"3,3,3,3,3"
64,693830215,people,"5,4,5,4,4"
65,5212721236,people,"5,4,5,4,4"
66,7223870022,nature,"3,3,3,3,2"
67,7300332358,nature,"3,4,3,3,3"
68,2150062942,nature,"3,3,3,4,3"
69,4176075327,nature,"2,3,5,4,4,4,1,1,5,1"
70,8152944404,people,"4,4,5,4,5"
71,5856750072,urban,"3,3,4,4,3"
72,5176065142,urban,"4,4,5,4,4,4,5,4,3,5"
73,617394280,nature,"3,3,4,3,4"
74,8035951185,nature,"3,3,4,4,4"
75,6181157479,nature,"4,3,3,3,2"
76,6986967626,nature,"5,3,4,3,4"
77,5404312074,people,"3,3,3,3,3,3,3,3,3,3"
78,7173535357,people,"2,2,2,2,2"
79,3501176681,nature,"2,4,4,2,3"
80,4132663175,urban,"3,3,3,3,3"
81,5431050474,people,"3,3,3,4,3"
82,3929646644,nature,"4,3,4,4,3"
83,5938019595,animals,"4,3,4,4,4"
84,147950641,animals,"3,3,3,3,3,3,3,3,3,4"
85,5381970302,nature,"4,3,4,3,3"
86,6566530921,people,"4,3,3,3,3"
87,5916875840,people,"4,4,4,4,3"
88,3375627860,urban,"3,3,3,4,3"
89,6163752068,animals,"4,3,4,4,4"
90,4567260728,urban,"3,3,3,3,3"
91,5427588654,urban,"4,3,3,3,3"
92,5292683061,urban,"3,4,4,3,3"
93,4022933540,nature,"3,3,3,3,3"
94,22412729,people,"3,4,3,4,5"
95,7837306738,animals,"4,4,4,4,4"
96,7920906350,nature,"4,3,4,4,4"
97,3935745762,people,"4,4,4,3,3"
98,6145277879,animals,"4,3,4,4,4,4,3,4,5,5"
99,5299475856,nature,"3,3,3,3,3"
100,4955360193,animals,"4,3,4,4,3,3,3,3,4,4"
101,3708657552,nature,"5,4,4,4,4,4,4,4,3,3,5,5,4,4,4"
102,6101039949,urban,"3,4,3,3,3"
