TEXT_COLUMN_NAME,LABEL_COLUMN_NAME
This is SO out of date that half of the information is irrelevant,1
You guys are just trying to sell your book.,1
"I cannot take the quizzes, because of money. The other courses let us take the quizzes without paying money. I dislike you paying policy. Please, let us take the tests without money payment.Sincerely,Garik",1
Looks like it's prealpha version of what it might be.,1
"Positive: Very interesting and informative lectures and subject matter.Negative: Fellow ""students"" who have no knowledge of the subject (other than what they themselves are learning) are required to submit case studies for ""peer review"" by other students who have no more knowledge of the subject than they do. These case studies are heavily weighted and if the person is reviewed negatively (for whatever reason), they must resubmit it never knowing why they were given low scores or what the correct answer should have been. No instructor assistance is given. Huge turn-off for me and many of my fellow students. I want to withdraw (drop) this class and take another with more clearly drawn parameters.",1
"If I could give it less than 1 star, I would. It wasn't an Excel class, rather it was a targeted business statistics class with only disjointed lectures and no benefit of textbook to actually help you learn. Lots of errors in the lectures and tests, and little to no support from course staff. Stay away! You won't regret it.",1
The course is very light on substance. There are significantly better courses and books available on the same subject matter. I definitely would not recommend this course.,1
"It's a mix of too much basic and irrelevant tips from different realms: pronounced english (which, in my opinion could be a great course of it's own), public speeking (only the basic of how to deliver which can be sum up to one page) and how to interact with other people (like how to say you are agree or disagree??? I strongly believe that if a person can understand those videos, I'm pretty sure that he knows that 5-years-old-extremly-basic-stuff).As much I like this concept of coursera, ""speak english professionally"" or even ""speak english"" is really a big statement for that course. Actually, from what it seems, the main point of that course is to get the students to purchase the full package of courses that the Georgia Tech Language Institude is offering. If you really like to know a great course that relates to the topic, I strongly advise you to check out the course ""Public Speaking"" by Dr. Matt McGarrity here at coursera. Best of luck.",1
"This is a very old fashion way of looking at development and developers. Where developers are considered resources and minions that need to follow orders. Modern development techniques value developers and allow them to be much more active players. Product Manager is not a MANAGER but a facilitator. This course describes the view that developers are loose canons that need to be managed and that upfront planning and estimation are the right path. I do not agree at all with this view.Should you happen to agree with this view, the Course is well explained and presented well.",1
Only catered to the American healthcare system. This course was not mind numbingly boring as hell,1
"The lectures for this class are incredibly weak. Later lectures by the same professor are reasonable and decently structured. These lectures need to be redone. The quizzes are either out-of-order or expect you to do a lot of research on your own beyond the class notes and topics. The class project is unbelievably simple, and the final metric for the class project includes duplication and one portion of the grade assigned simply if you feel the person you're grading ""tried"".",1
"Unfortunately, this is one the worst paid courses I've taken on Coursera. The material is very brief, the assignments are poorly explained and structured. As with all the other sections in this specialization, there is no feedback for professor or TAs, which is very-very frustrating.",1
Background is not clear and not able to understand lecture,1
Not much Interesting plus low level of difficulty,1
"The videos are too short, without enough information about the topics. You have to read a lot, Actually, this course doesn't look like as others Coursera's courses and I don't recommend it.",1
very basic.,1
not of a worth,1
Too basic content.I have not learned anything with this course (installing R and RStudio should not be part of exercises or lectures).I hope R programming course will be better,1
This course is a joke. Contents is very very poor. And you will have a lot of problems making the Assigments.,1
"I had a very poor experience being graded by peers. Although the Capstone Project Assignment itself is EXCELLENT, the peer grading rubric is not. I was not fairly graded, and I am sure of this 100%.",1
poor design on presentation assignment,1
Too much reuse of old material (assignments as well as lectures).,1
This is a joke right?5 minutes long videos with questions after it shall teach me effective?!you guys are ridiculous!,1
"It has almost no content and isn't actually useful. I've heard later classes in the series are way tougher, so the ramp up isn't at all good.",1
Professor is not engaging at all. Presentation skills are poor.,1
I do not like the different language. I do not read fast enough to keep up and understand what is bing said. I think we should have a language button to translate to English or any other language that takes cources from Corsera.,1
Frustrating as hell. Too much math and computer coding.,1
"If you want to memorize what year countries started their public broadcast systems, this is the course for you.It only briefly discusses critical paradigm shifts and shows. The course lacks a critical analysis element and the video lectures are unstructured. It would be almost impossible to pick three key points they want you to learn from each video.",1
Abstract when the assignment is related to psychology. Could you give us some not that professional articles?The whole course is not designed in a clear and logic way. Overwhelmed with so many terms without clear explanations.,1
"Project description versus requirements were terrible, not sure if the new Coursera format played a role in the issues or not. Quite a few of the homework items require guessing as the answers don't align to the results of the latest tools they have you use. If the first class or three in the series was like this I wouldn't have taken the courses.",1
"Really poor course. Rather than starting from the basics, this course picks random information to work with. Week 1 was information anybody with a computer knows. Week 2 was really good. Week 3 and 4 were completely useless. Rather than starting from the basics they jump into picture manipulation and encoding. Don't take this class if you want to learn about coding.",1
Didn't learn anything new. Too much of chit chat.,1
Waste of money.....,1
The content is essentially a subset of the information available in the free tutorials on Tableau's website. And a pretty small subset with that; the total length of the course is less than most of the MOOCs I have taken have for one week.,1
"While the content of this course is interesting and well-structured, the way it's presented on Coursera has major problems.As it stands, this is not really a Coursera course; it's simply a Coursera wrapper around some links to a third-party website. All of the things that make Coursera valuable - videos with inline quizzes, ability to download content, the exam format, peer assessment - are missing. In fact, having Coursera as a wrapper actually makes it more difficult to use, because additional clicks are required to access any resource, and nothing is accessible offline. If this course is to be offered on Coursera, it needs major rework to take advantage of the platform.This is a real shame, because there is some great content here and obviously a lot of care has been taken to structure it carefully for the original Stanford course. For that reason, recommend using the Stanford web site directly.",1
I wouldn't recommend this course to anyone who's paying. The assignments instructions are too vague to understand and there's no example given.,1
The course content is presented in a very good way. It is explained in an understandable way and examples provide a good insight. The final assignment is ambiguously described. This is very frustrating if you invest a lot of time and recognize that all classmates proceeded in a different way.,1
Not happy about course 5 & 6 got cancelled.,1
There is a wide gap between the lectures and the practice. Its clear that the video material is completely inadequate and insufficient for the course. A poor introduction to programming.,1
Not worth 29$ considering you could take away very little from this course.,1
