response,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
14,0.83,0.559,0.591,0.743,0.864,0.988,0.053,0.207,0.243,0.219
1,0.323,0.215,0.536,0.374,0.467,0.374,0.417,0.528,0.945,0.169
9,0.3,0.942,0.284,0.549,0.381,0.455,0.374,0.957,0.416,0.196
14,0.978,0.459,0.932,0.496,0.152,0.554,0.842,0.219,0.05,0.45
7,0.151,0.574,0.304,0.495,0.653,0.634,0.879,0.354,0.169,0.744
11,0.38,0.95,0.868,0.441,0.524,0.909,0.89,0.218,0.847,0.152
4,0.477,0.606,0.336,0.251,0.359,0.0,0.26,0.1,0.749,0.143
10,0.721,0.663,0.296,0.204,0.613,0.935,0.371,0.465,0.952,0.806
13,0.321,0.755,0.927,0.71,0.285,0.393,0.708,0.727,0.751,0.044
9,0.284,0.729,0.184,0.4,0.855,0.066,0.587,0.401,0.851,0.558
11,1.0,0.865,0.672,0.876,0.915,0.388,0.502,0.295,0.51,0.514
9,0.59,0.15,0.908,0.779,0.024,0.933,0.21,0.322,0.361,0.214
1,0.151,0.292,0.634,0.273,0.983,0.437,0.303,0.938,0.966,0.184
3,0.464,0.491,0.211,0.096,0.285,0.582,0.316,0.512,0.431,0.722
4,0.739,0.038,0.987,0.601,0.086,0.03,0.713,0.228,0.582,0.49
3,0.177,0.382,0.516,0.381,0.645,0.137,0.793,0.647,0.342,0.655
4,0.748,0.445,0.343,0.08,0.43,0.963,0.698,0.691,0.477,0.151
9,0.827,0.381,0.985,0.185,0.173,0.757,0.418,0.877,0.009,0.337
5,0.878,0.951,0.418,0.416,0.577,0.072,0.252,0.159,0.535,0.976
5,0.444,0.328,0.873,0.226,0.579,0.342,0.758,0.517,0.223,0.377
14,0.721,0.53,0.598,0.817,0.484,0.184,0.619,0.203,0.37,0.348
0,0.299,0.224,0.473,0.006,0.489,0.679,0.324,0.657,0.732,0.308
12,0.424,0.776,0.478,0.822,0.557,0.306,0.244,0.417,0.422,0.031
4,0.649,0.299,0.06,0.1,0.195,0.239,0.808,0.678,0.498,0.061
7,0.162,0.564,0.814,0.531,0.738,0.514,0.844,0.641,0.876,0.038
6,0.56,0.954,0.552,0.164,0.304,0.142,0.289,0.748,0.862,0.488
11,0.631,0.957,0.15,0.523,0.165,0.067,0.076,0.674,0.899,0.61
7,0.253,0.296,0.228,0.996,0.031,0.012,0.181,0.784,0.442,0.205
15,0.686,0.568,0.107,0.434,0.988,0.959,0.826,0.615,0.921,0.488
10,0.94,0.586,0.427,0.472,0.516,0.972,0.239,0.005,0.396,0.095
2,0.15,0.446,0.044,0.049,0.659,0.759,0.903,0.452,0.572,0.807
13,0.554,0.804,0.328,0.546,0.54,0.044,0.129,0.063,0.343,0.489
6,0.534,0.024,0.903,0.908,0.122,0.445,0.407,0.422,0.224,0.371
0,0.216,0.081,0.57,0.372,0.065,0.994,0.056,0.535,0.794,0.685
0,0.04,0.763,0.112,0.169,0.15,0.033,0.418,0.377,0.855,0.98
6,0.003,0.706,0.822,0.768,0.825,0.532,0.163,0.546,0.538,0.58
14,0.391,0.973,0.321,0.956,0.498,0.255,0.981,0.728,0.994,0.344
2,0.221,0.951,0.869,0.051,0.226,0.601,0.402,0.289,0.442,0.025
4,0.643,0.348,0.541,0.385,0.163,0.537,0.135,0.982,0.679,0.514
12,0.996,0.502,0.473,0.632,0.496,0.096,0.097,0.797,0.411,0.022
6,0.618,0.635,0.161,0.117,0.389,0.498,0.349,0.592,0.408,0.585
6,0.041,0.63,0.021,0.754,0.075,0.594,0.429,0.868,0.328,0.137
15,0.64,0.665,0.115,0.762,0.503,0.983,0.548,0.03,0.27,0.889
4,0.67,0.359,0.325,0.09,0.545,0.274,0.16,0.305,0.82,0.979
5,0.193,0.667,0.5,0.485,0.764,0.398,0.609,0.066,0.176,0.528
7,0.882,0.984,0.923,0.439,0.282,0.965,0.229,0.825,0.495,0.761
10,0.09,0.758,0.567,0.995,0.654,0.202,0.272,0.62,0.727,0.884
6,0.673,0.657,0.263,0.36,0.188,0.766,0.046,0.049,0.318,0.201
0,0.148,0.125,0.271,0.487,0.213,0.541,0.252,0.335,0.822,0.444
8,0.165,0.851,0.434,0.605,0.692,0.486,0.541,0.853,0.116,0.629
2,0.068,0.842,0.819,0.542,0.139,0.231,0.951,0.443,0.142,0.766
5,0.484,0.475,0.049,0.272,0.296,0.139,0.759,0.07,0.165,0.639
14,0.803,0.764,0.683,0.778,0.396,0.028,0.013,0.918,0.398,0.062
2,0.062,0.946,0.905,0.202,0.483,0.775,0.531,0.093,0.897,0.939
6,0.728,0.313,0.812,0.212,0.346,0.637,0.77,0.874,0.212,0.521
13,0.485,0.872,0.728,0.743,0.171,0.93,0.138,0.068,0.922,0.121
15,0.543,0.846,0.964,0.602,0.566,0.924,0.517,0.604,0.281,0.299
9,0.145,0.832,0.455,0.868,0.942,0.917,0.498,0.242,0.135,0.465
2,0.011,0.226,0.574,0.948,0.255,0.222,0.859,0.247,0.707,0.924
5,0.876,0.776,0.856,0.077,0.24,0.959,0.628,0.62,0.252,0.582
8,0.854,0.656,0.688,0.111,0.297,0.023,0.334,0.235,0.39,0.016
3,0.067,0.808,0.51,0.778,0.019,0.627,0.993,0.039,0.836,0.853
13,0.655,0.193,0.877,0.645,0.984,0.595,0.222,0.944,0.595,0.386
0,0.999,0.979,0.39,0.112,0.371,0.114,0.862,0.073,0.411,0.596
12,0.499,0.248,0.142,0.902,0.803,0.743,0.781,0.858,0.77,0.994
14,0.173,0.858,0.029,0.814,0.851,0.698,0.072,0.68,0.145,0.731
