This script: rnn_corn.py
PyTorch Version: 1.10.1
CUDA device: cuda:3
CUDA version: 11.3
Random seed: 0
Learning rate: 0.001
Epochs: 200
Batch size: 16
Output path: runs/coursera/rnn_corn-imp0-seed0-epochs200-batchsize16-learningrate0.001_best-rmse
Epoch: 001/200 | Batch 0000/0503 | Loss: 0.6746
Epoch: 001/200 | Batch 0050/0503 | Loss: 0.5752
Epoch: 001/200 | Batch 0100/0503 | Loss: 0.5738
Epoch: 001/200 | Batch 0150/0503 | Loss: 0.5458
Epoch: 001/200 | Batch 0200/0503 | Loss: 0.4630
Epoch: 001/200 | Batch 0250/0503 | Loss: 0.5664
Epoch: 001/200 | Batch 0300/0503 | Loss: 0.5756
Epoch: 001/200 | Batch 0350/0503 | Loss: 0.5205
Epoch: 001/200 | Batch 0400/0503 | Loss: 0.5188
Epoch: 001/200 | Batch 0450/0503 | Loss: 0.5291
Epoch: 001/200 | Batch 0500/0503 | Loss: 0.5671
MAE/RMSE/ACC: Current Valid: 1.10/1.42/30.73 Ep. 1 | Best Valid: 1.10/1.42/30.73 | Ep. 1
Time elapsed: 0.19 min
Epoch: 002/200 | Batch 0000/0503 | Loss: 0.5787
Epoch: 002/200 | Batch 0050/0503 | Loss: 0.4494
Epoch: 002/200 | Batch 0100/0503 | Loss: 0.4864
Epoch: 002/200 | Batch 0150/0503 | Loss: 0.4000
Epoch: 002/200 | Batch 0200/0503 | Loss: 0.6193
Epoch: 002/200 | Batch 0250/0503 | Loss: 0.3973
Epoch: 002/200 | Batch 0300/0503 | Loss: 0.3784
Epoch: 002/200 | Batch 0350/0503 | Loss: 0.5235
Epoch: 002/200 | Batch 0400/0503 | Loss: 0.4944
Epoch: 002/200 | Batch 0450/0503 | Loss: 0.4665
Epoch: 002/200 | Batch 0500/0503 | Loss: 0.4794
MAE/RMSE/ACC: Current Valid: 1.01/1.35/35.02 Ep. 2 | Best Valid: 1.01/1.35/35.02 | Ep. 2
Time elapsed: 0.26 min
Epoch: 003/200 | Batch 0000/0503 | Loss: 0.4481
Epoch: 003/200 | Batch 0050/0503 | Loss: 0.4482
Epoch: 003/200 | Batch 0100/0503 | Loss: 0.3083
Epoch: 003/200 | Batch 0150/0503 | Loss: 0.4492
Epoch: 003/200 | Batch 0200/0503 | Loss: 0.4349
Epoch: 003/200 | Batch 0250/0503 | Loss: 0.4314
Epoch: 003/200 | Batch 0300/0503 | Loss: 0.3167
Epoch: 003/200 | Batch 0350/0503 | Loss: 0.4471
Epoch: 003/200 | Batch 0400/0503 | Loss: 0.3730
Epoch: 003/200 | Batch 0450/0503 | Loss: 0.4066
Epoch: 003/200 | Batch 0500/0503 | Loss: 0.4589
MAE/RMSE/ACC: Current Valid: 1.02/1.42/35.02 Ep. 3 | Best Valid: 1.01/1.35/35.02 | Ep. 2
Time elapsed: 0.34 min
Epoch: 004/200 | Batch 0000/0503 | Loss: 0.3402
Epoch: 004/200 | Batch 0050/0503 | Loss: 0.3278
Epoch: 004/200 | Batch 0100/0503 | Loss: 0.2539
Epoch: 004/200 | Batch 0150/0503 | Loss: 0.3198
Epoch: 004/200 | Batch 0200/0503 | Loss: 0.3576
Epoch: 004/200 | Batch 0250/0503 | Loss: 0.3185
Epoch: 004/200 | Batch 0300/0503 | Loss: 0.3641
Epoch: 004/200 | Batch 0350/0503 | Loss: 0.3721
Epoch: 004/200 | Batch 0400/0503 | Loss: 0.3950
Epoch: 004/200 | Batch 0450/0503 | Loss: 0.3587
Epoch: 004/200 | Batch 0500/0503 | Loss: 0.3014
MAE/RMSE/ACC: Current Valid: 0.98/1.38/40.86 Ep. 4 | Best Valid: 0.98/1.38/40.86 | Ep. 4
Time elapsed: 0.43 min
Epoch: 005/200 | Batch 0000/0503 | Loss: 0.2890
Epoch: 005/200 | Batch 0050/0503 | Loss: 0.2496
Epoch: 005/200 | Batch 0100/0503 | Loss: 0.2430
Epoch: 005/200 | Batch 0150/0503 | Loss: 0.2576
Epoch: 005/200 | Batch 0200/0503 | Loss: 0.3280
Epoch: 005/200 | Batch 0250/0503 | Loss: 0.1768
Epoch: 005/200 | Batch 0300/0503 | Loss: 0.2697
Epoch: 005/200 | Batch 0350/0503 | Loss: 0.3410
Epoch: 005/200 | Batch 0400/0503 | Loss: 0.3597
Epoch: 005/200 | Batch 0450/0503 | Loss: 0.2003
Epoch: 005/200 | Batch 0500/0503 | Loss: 0.3381
MAE/RMSE/ACC: Current Valid: 1.03/1.48/40.86 Ep. 5 | Best Valid: 0.98/1.38/40.86 | Ep. 4
Time elapsed: 0.51 min
Epoch: 006/200 | Batch 0000/0503 | Loss: 0.2302
Epoch: 006/200 | Batch 0050/0503 | Loss: 0.3675
Epoch: 006/200 | Batch 0100/0503 | Loss: 0.1728
Epoch: 006/200 | Batch 0150/0503 | Loss: 0.2293
Epoch: 006/200 | Batch 0200/0503 | Loss: 0.2087
Epoch: 006/200 | Batch 0250/0503 | Loss: 0.2067
Epoch: 006/200 | Batch 0300/0503 | Loss: 0.1707
Epoch: 006/200 | Batch 0350/0503 | Loss: 0.2424
Epoch: 006/200 | Batch 0400/0503 | Loss: 0.1154
Epoch: 006/200 | Batch 0450/0503 | Loss: 0.1752
Epoch: 006/200 | Batch 0500/0503 | Loss: 0.2260
MAE/RMSE/ACC: Current Valid: 1.02/1.47/40.86 Ep. 6 | Best Valid: 0.98/1.38/40.86 | Ep. 4
Time elapsed: 0.60 min
Epoch: 007/200 | Batch 0000/0503 | Loss: 0.1164
Epoch: 007/200 | Batch 0050/0503 | Loss: 0.0840
Epoch: 007/200 | Batch 0100/0503 | Loss: 0.1224
Epoch: 007/200 | Batch 0150/0503 | Loss: 0.2568
Epoch: 007/200 | Batch 0200/0503 | Loss: 0.1151
Epoch: 007/200 | Batch 0250/0503 | Loss: 0.0511
