This script: rnn_corn.py
PyTorch Version: 1.10.1
CUDA device: cuda:2
CUDA version: 11.3
Random seed: 2
Learning rate: 0.001
Epochs: 200
Batch size: 16
Output path: runs/coursera/rnn_corn-imp0-seed2-epochs200-learningrate0.001-batchsize16_best-rmse
Epoch: 001/200 | Batch 0000/0503 | Loss: 0.6906
Epoch: 001/200 | Batch 0050/0503 | Loss: 0.6604
Epoch: 001/200 | Batch 0100/0503 | Loss: 0.6055
Epoch: 001/200 | Batch 0150/0503 | Loss: 0.4525
Epoch: 001/200 | Batch 0200/0503 | Loss: 0.5258
Epoch: 001/200 | Batch 0250/0503 | Loss: 0.5250
Epoch: 001/200 | Batch 0300/0503 | Loss: 0.4863
Epoch: 001/200 | Batch 0350/0503 | Loss: 0.4901
Epoch: 001/200 | Batch 0400/0503 | Loss: 0.4401
Epoch: 001/200 | Batch 0450/0503 | Loss: 0.5054
Epoch: 001/200 | Batch 0500/0503 | Loss: 0.6431
MAE/RMSE/ACC: Current Valid: 1.14/1.43/26.09 Ep. 1 | Best Valid: 1.14/1.43/26.09 | Ep. 1
Time elapsed: 0.19 min
Epoch: 002/200 | Batch 0000/0503 | Loss: 0.5053
Epoch: 002/200 | Batch 0050/0503 | Loss: 0.4441
Epoch: 002/200 | Batch 0100/0503 | Loss: 0.4927
Epoch: 002/200 | Batch 0150/0503 | Loss: 0.5657
Epoch: 002/200 | Batch 0200/0503 | Loss: 0.4311
Epoch: 002/200 | Batch 0250/0503 | Loss: 0.4439
Epoch: 002/200 | Batch 0300/0503 | Loss: 0.4832
Epoch: 002/200 | Batch 0350/0503 | Loss: 0.3704
Epoch: 002/200 | Batch 0400/0503 | Loss: 0.3737
Epoch: 002/200 | Batch 0450/0503 | Loss: 0.4050
Epoch: 002/200 | Batch 0500/0503 | Loss: 0.4286
MAE/RMSE/ACC: Current Valid: 1.10/1.51/36.85 Ep. 2 | Best Valid: 1.10/1.51/36.85 | Ep. 2
Time elapsed: 0.28 min
Epoch: 003/200 | Batch 0000/0503 | Loss: 0.3490
Epoch: 003/200 | Batch 0050/0503 | Loss: 0.3427
Epoch: 003/200 | Batch 0100/0503 | Loss: 0.3975
Epoch: 003/200 | Batch 0150/0503 | Loss: 0.4798
Epoch: 003/200 | Batch 0200/0503 | Loss: 0.3474
Epoch: 003/200 | Batch 0250/0503 | Loss: 0.4328
Epoch: 003/200 | Batch 0300/0503 | Loss: 0.4422
Epoch: 003/200 | Batch 0350/0503 | Loss: 0.3812
Epoch: 003/200 | Batch 0400/0503 | Loss: 0.3116
Epoch: 003/200 | Batch 0450/0503 | Loss: 0.3646
Epoch: 003/200 | Batch 0500/0503 | Loss: 0.4031
MAE/RMSE/ACC: Current Valid: 1.09/1.51/38.68 Ep. 3 | Best Valid: 1.09/1.51/38.68 | Ep. 3
Time elapsed: 0.36 min
Epoch: 004/200 | Batch 0000/0503 | Loss: 0.3800
Epoch: 004/200 | Batch 0050/0503 | Loss: 0.3009
Epoch: 004/200 | Batch 0100/0503 | Loss: 0.3148
Epoch: 004/200 | Batch 0150/0503 | Loss: 0.2670
Epoch: 004/200 | Batch 0200/0503 | Loss: 0.2601
Epoch: 004/200 | Batch 0250/0503 | Loss: 0.3319
Epoch: 004/200 | Batch 0300/0503 | Loss: 0.2649
Epoch: 004/200 | Batch 0350/0503 | Loss: 0.4076
Epoch: 004/200 | Batch 0400/0503 | Loss: 0.3726
Epoch: 004/200 | Batch 0450/0503 | Loss: 0.3603
Epoch: 004/200 | Batch 0500/0503 | Loss: 0.4149
MAE/RMSE/ACC: Current Valid: 1.09/1.57/38.68 Ep. 4 | Best Valid: 1.09/1.51/38.68 | Ep. 3
Time elapsed: 0.45 min
Epoch: 005/200 | Batch 0000/0503 | Loss: 0.2161
Epoch: 005/200 | Batch 0050/0503 | Loss: 0.3373
Epoch: 005/200 | Batch 0100/0503 | Loss: 0.2957
Epoch: 005/200 | Batch 0150/0503 | Loss: 0.2202
Epoch: 005/200 | Batch 0200/0503 | Loss: 0.2840
Epoch: 005/200 | Batch 0250/0503 | Loss: 0.2732
Epoch: 005/200 | Batch 0300/0503 | Loss: 0.3779
Epoch: 005/200 | Batch 0350/0503 | Loss: 0.3452
Epoch: 005/200 | Batch 0400/0503 | Loss: 0.2414
Epoch: 005/200 | Batch 0450/0503 | Loss: 0.3514
Epoch: 005/200 | Batch 0500/0503 | Loss: 0.3445
MAE/RMSE/ACC: Current Valid: 1.14/1.64/38.68 Ep. 5 | Best Valid: 1.09/1.51/38.68 | Ep. 3
Time elapsed: 0.53 min
Epoch: 006/200 | Batch 0000/0503 | Loss: 0.1764
Epoch: 006/200 | Batch 0050/0503 | Loss: 0.2308
Epoch: 006/200 | Batch 0100/0503 | Loss: 0.2391
Epoch: 006/200 | Batch 0150/0503 | Loss: 0.2052
Epoch: 006/200 | Batch 0200/0503 | Loss: 0.1821
Epoch: 006/200 | Batch 0250/0503 | Loss: 0.2533
Epoch: 006/200 | Batch 0300/0503 | Loss: 0.1491
Epoch: 006/200 | Batch 0350/0503 | Loss: 0.2555
Epoch: 006/200 | Batch 0400/0503 | Loss: 0.2137
Epoch: 006/200 | Batch 0450/0503 | Loss: 0.1856
Epoch: 006/200 | Batch 0500/0503 | Loss: 0.1923
MAE/RMSE/ACC: Current Valid: 1.18/1.70/38.68 Ep. 6 | Best Valid: 1.09/1.51/38.68 | Ep. 3
Time elapsed: 0.61 min
Epoch: 007/200 | Batch 0000/0503 | Loss: 0.1148
Epoch: 007/200 | Batch 0050/0503 | Loss: 0.2032
Epoch: 007/200 | Batch 0100/0503 | Loss: 0.0914
Epoch: 007/200 | Batch 0150/0503 | Loss: 0.2102
Epoch: 007/200 | Batch 0200/0503 | Loss: 0.3118
Epoch: 007/200 | Batch 0250/0503 | Loss: 0.0989
