This script: mlp-cross-entropy.py
PyTorch Version: 1.8.0
Random seed: 1
Learning rate: 0.0005
Epochs: 200
Batch size: 64
Output path: runs/xentr/mlp-xentr-seed1-epochs200-batchsize64-learningrate0.0005_best-rmse
Epoch: 001/200 | Batch 0000/0483 | Loss: 2.8622
Epoch: 001/200 | Batch 0050/0483 | Loss: 2.5235
Epoch: 001/200 | Batch 0100/0483 | Loss: 2.3376
Epoch: 001/200 | Batch 0150/0483 | Loss: 2.3881
Epoch: 001/200 | Batch 0200/0483 | Loss: 2.2420
Epoch: 001/200 | Batch 0250/0483 | Loss: 2.3129
Epoch: 001/200 | Batch 0300/0483 | Loss: 2.3004
Epoch: 001/200 | Batch 0350/0483 | Loss: 2.0475
Epoch: 001/200 | Batch 0400/0483 | Loss: 2.1055
Epoch: 001/200 | Batch 0450/0483 | Loss: 2.1171
MAE/RMSE/ACC: Current Valid: 1.53/2.18/26.41 Ep. 1 | Best Valid: 1.53/2.18/26.41 | Ep. 1
Time elapsed: 0.05 min
Epoch: 002/200 | Batch 0000/0483 | Loss: 2.1401
Epoch: 002/200 | Batch 0050/0483 | Loss: 2.0587
Epoch: 002/200 | Batch 0100/0483 | Loss: 1.9666
Epoch: 002/200 | Batch 0150/0483 | Loss: 1.9829
Epoch: 002/200 | Batch 0200/0483 | Loss: 2.0319
Epoch: 002/200 | Batch 0250/0483 | Loss: 1.9804
Epoch: 002/200 | Batch 0300/0483 | Loss: 2.0550
Epoch: 002/200 | Batch 0350/0483 | Loss: 1.7996
Epoch: 002/200 | Batch 0400/0483 | Loss: 1.9001
Epoch: 002/200 | Batch 0450/0483 | Loss: 1.9494
MAE/RMSE/ACC: Current Valid: 1.17/1.70/32.56 Ep. 2 | Best Valid: 1.17/1.70/32.56 | Ep. 2
Time elapsed: 0.09 min
Epoch: 003/200 | Batch 0000/0483 | Loss: 1.8940
Epoch: 003/200 | Batch 0050/0483 | Loss: 1.9630
Epoch: 003/200 | Batch 0100/0483 | Loss: 1.7052
Epoch: 003/200 | Batch 0150/0483 | Loss: 1.7853
Epoch: 003/200 | Batch 0200/0483 | Loss: 1.7871
Epoch: 003/200 | Batch 0250/0483 | Loss: 1.8557
Epoch: 003/200 | Batch 0300/0483 | Loss: 1.8525
Epoch: 003/200 | Batch 0350/0483 | Loss: 1.6615
Epoch: 003/200 | Batch 0400/0483 | Loss: 1.8931
Epoch: 003/200 | Batch 0450/0483 | Loss: 1.8755
MAE/RMSE/ACC: Current Valid: 1.03/1.49/34.77 Ep. 3 | Best Valid: 1.03/1.49/34.77 | Ep. 3
Time elapsed: 0.13 min
Epoch: 004/200 | Batch 0000/0483 | Loss: 1.7766
Epoch: 004/200 | Batch 0050/0483 | Loss: 1.7426
Epoch: 004/200 | Batch 0100/0483 | Loss: 1.6658
Epoch: 004/200 | Batch 0150/0483 | Loss: 1.6497
Epoch: 004/200 | Batch 0200/0483 | Loss: 1.7943
Epoch: 004/200 | Batch 0250/0483 | Loss: 1.7621
Epoch: 004/200 | Batch 0300/0483 | Loss: 1.7379
Epoch: 004/200 | Batch 0350/0483 | Loss: 1.5792
Epoch: 004/200 | Batch 0400/0483 | Loss: 1.7074
Epoch: 004/200 | Batch 0450/0483 | Loss: 1.7781
MAE/RMSE/ACC: Current Valid: 0.96/1.37/36.06 Ep. 4 | Best Valid: 0.96/1.37/36.06 | Ep. 4
Time elapsed: 0.18 min
Epoch: 005/200 | Batch 0000/0483 | Loss: 1.6795
Epoch: 005/200 | Batch 0050/0483 | Loss: 1.6657
Epoch: 005/200 | Batch 0100/0483 | Loss: 1.6770
Epoch: 005/200 | Batch 0150/0483 | Loss: 1.6681
Epoch: 005/200 | Batch 0200/0483 | Loss: 1.7416
Epoch: 005/200 | Batch 0250/0483 | Loss: 1.7849
Epoch: 005/200 | Batch 0300/0483 | Loss: 1.7129
Epoch: 005/200 | Batch 0350/0483 | Loss: 1.5982
Epoch: 005/200 | Batch 0400/0483 | Loss: 1.6481
Epoch: 005/200 | Batch 0450/0483 | Loss: 1.7135
MAE/RMSE/ACC: Current Valid: 0.91/1.29/37.16 Ep. 5 | Best Valid: 0.91/1.29/37.16 | Ep. 5
Time elapsed: 0.23 min
Epoch: 006/200 | Batch 0000/0483 | Loss: 1.6165
Epoch: 006/200 | Batch 0050/0483 | Loss: 1.6747
Epoch: 006/200 | Batch 0100/0483 | Loss: 1.4992
Epoch: 006/200 | Batch 0150/0483 | Loss: 1.6330
Epoch: 006/200 | Batch 0200/0483 | Loss: 1.7372
Epoch: 006/200 | Batch 0250/0483 | Loss: 1.7309
Epoch: 006/200 | Batch 0300/0483 | Loss: 1.6603
Epoch: 006/200 | Batch 0350/0483 | Loss: 1.5571
Epoch: 006/200 | Batch 0400/0483 | Loss: 1.6195
Epoch: 006/200 | Batch 0450/0483 | Loss: 1.7258
MAE/RMSE/ACC: Current Valid: 0.87/1.26/39.25 Ep. 6 | Best Valid: 0.87/1.26/39.25 | Ep. 6
Time elapsed: 0.27 min
Epoch: 007/200 | Batch 0000/0483 | Loss: 1.6791
Epoch: 007/200 | Batch 0050/0483 | Loss: 1.6510
Epoch: 007/200 | Batch 0100/0483 | Loss: 1.5398
Epoch: 007/200 | Batch 0150/0483 | Loss: 1.6765
Epoch: 007/200 | Batch 0200/0483 | Loss: 1.7068
Epoch: 007/200 | Batch 0250/0483 | Loss: 1.5289
Epoch: 007/200 | Batch 0300/0483 | Loss: 1.6701
Epoch: 007/200 | Batch 0350/0483 | Loss: 1.4819
Epoch: 007/200 | Batch 0400/0483 | Loss: 1.6383
Epoch: 007/200 | Batch 0450/0483 | Loss: 1.7912
MAE/RMSE/ACC: Current Valid: 0.85/1.22/39.74 Ep. 7 | Best Valid: 0.85/1.22/39.74 | Ep. 7
Time elapsed: 0.32 min
Epoch: 008/200 | Batch 0000/0483 | Loss: 1.6099
Epoch: 008/200 | Batch 0050/0483 | Loss: 1.6025
Epoch: 008/200 | Batch 0100/0483 | Loss: 1.5443
Epoch: 008/200 | Batch 0150/0483 | Loss: 1.6244
Epoch: 008/200 | Batch 0200/0483 | Loss: 1.6105
Epoch: 008/200 | Batch 0250/0483 | Loss: 1.6692
Epoch: 008/200 | Batch 0300/0483 | Loss: 1.6199
Epoch: 008/200 | Batch 0350/0483 | Loss: 1.5680
Epoch: 008/200 | Batch 0400/0483 | Loss: 1.4616
Epoch: 008/200 | Batch 0450/0483 | Loss: 1.6549
MAE/RMSE/ACC: Current Valid: 0.82/1.18/40.48 Ep. 8 | Best Valid: 0.82/1.18/40.48 | Ep. 8
Time elapsed: 0.36 min
Epoch: 009/200 | Batch 0000/0483 | Loss: 1.6191
Epoch: 009/200 | Batch 0050/0483 | Loss: 1.5384
Epoch: 009/200 | Batch 0100/0483 | Loss: 1.5701
Epoch: 009/200 | Batch 0150/0483 | Loss: 1.5659
Epoch: 009/200 | Batch 0200/0483 | Loss: 1.5472
Epoch: 009/200 | Batch 0250/0483 | Loss: 1.6118
Epoch: 009/200 | Batch 0300/0483 | Loss: 1.6292
Epoch: 009/200 | Batch 0350/0483 | Loss: 1.4669
Epoch: 009/200 | Batch 0400/0483 | Loss: 1.6026
Epoch: 009/200 | Batch 0450/0483 | Loss: 1.6821
MAE/RMSE/ACC: Current Valid: 0.82/1.16/39.74 Ep. 9 | Best Valid: 0.82/1.16/39.74 | Ep. 9
Time elapsed: 0.40 min
Epoch: 010/200 | Batch 0000/0483 | Loss: 1.5269
Epoch: 010/200 | Batch 0050/0483 | Loss: 1.5367
Epoch: 010/200 | Batch 0100/0483 | Loss: 1.4530
Epoch: 010/200 | Batch 0150/0483 | Loss: 1.7070
Epoch: 010/200 | Batch 0200/0483 | Loss: 1.6128
Epoch: 010/200 | Batch 0250/0483 | Loss: 1.6158
Epoch: 010/200 | Batch 0300/0483 | Loss: 1.6455
Epoch: 010/200 | Batch 0350/0483 | Loss: 1.5441
Epoch: 010/200 | Batch 0400/0483 | Loss: 1.5281
Epoch: 010/200 | Batch 0450/0483 | Loss: 1.6555
MAE/RMSE/ACC: Current Valid: 0.81/1.16/40.48 Ep. 10 | Best Valid: 0.81/1.16/40.48 | Ep. 10
Time elapsed: 0.44 min
Epoch: 011/200 | Batch 0000/0483 | Loss: 1.5791
Epoch: 011/200 | Batch 0050/0483 | Loss: 1.5093
Epoch: 011/200 | Batch 0100/0483 | Loss: 1.4636
Epoch: 011/200 | Batch 0150/0483 | Loss: 1.6396
Epoch: 011/200 | Batch 0200/0483 | Loss: 1.6514
Epoch: 011/200 | Batch 0250/0483 | Loss: 1.6526
Epoch: 011/200 | Batch 0300/0483 | Loss: 1.5676
Epoch: 011/200 | Batch 0350/0483 | Loss: 1.5329
Epoch: 011/200 | Batch 0400/0483 | Loss: 1.5816
Epoch: 011/200 | Batch 0450/0483 | Loss: 1.6269
MAE/RMSE/ACC: Current Valid: 0.79/1.14/41.40 Ep. 11 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.49 min
Epoch: 012/200 | Batch 0000/0483 | Loss: 1.6377
Epoch: 012/200 | Batch 0050/0483 | Loss: 1.5088
Epoch: 012/200 | Batch 0100/0483 | Loss: 1.4813
Epoch: 012/200 | Batch 0150/0483 | Loss: 1.5082
Epoch: 012/200 | Batch 0200/0483 | Loss: 1.6052
Epoch: 012/200 | Batch 0250/0483 | Loss: 1.5896
Epoch: 012/200 | Batch 0300/0483 | Loss: 1.5772
Epoch: 012/200 | Batch 0350/0483 | Loss: 1.6206
Epoch: 012/200 | Batch 0400/0483 | Loss: 1.5818
Epoch: 012/200 | Batch 0450/0483 | Loss: 1.5946
MAE/RMSE/ACC: Current Valid: 0.79/1.14/41.40 Ep. 12 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.53 min
Epoch: 013/200 | Batch 0000/0483 | Loss: 1.5070
Epoch: 013/200 | Batch 0050/0483 | Loss: 1.5127
Epoch: 013/200 | Batch 0100/0483 | Loss: 1.4757
Epoch: 013/200 | Batch 0150/0483 | Loss: 1.5462
Epoch: 013/200 | Batch 0200/0483 | Loss: 1.6212
Epoch: 013/200 | Batch 0250/0483 | Loss: 1.6546
Epoch: 013/200 | Batch 0300/0483 | Loss: 1.4805
Epoch: 013/200 | Batch 0350/0483 | Loss: 1.4654
Epoch: 013/200 | Batch 0400/0483 | Loss: 1.5201
Epoch: 013/200 | Batch 0450/0483 | Loss: 1.6805
MAE/RMSE/ACC: Current Valid: 0.82/1.17/41.40 Ep. 13 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.57 min
Epoch: 014/200 | Batch 0000/0483 | Loss: 1.5614
Epoch: 014/200 | Batch 0050/0483 | Loss: 1.5122
Epoch: 014/200 | Batch 0100/0483 | Loss: 1.4628
Epoch: 014/200 | Batch 0150/0483 | Loss: 1.6434
Epoch: 014/200 | Batch 0200/0483 | Loss: 1.5831
Epoch: 014/200 | Batch 0250/0483 | Loss: 1.5573
Epoch: 014/200 | Batch 0300/0483 | Loss: 1.5996
Epoch: 014/200 | Batch 0350/0483 | Loss: 1.4965
Epoch: 014/200 | Batch 0400/0483 | Loss: 1.4885
Epoch: 014/200 | Batch 0450/0483 | Loss: 1.6772
MAE/RMSE/ACC: Current Valid: 0.81/1.16/41.40 Ep. 14 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.61 min
Epoch: 015/200 | Batch 0000/0483 | Loss: 1.5757
Epoch: 015/200 | Batch 0050/0483 | Loss: 1.5891
Epoch: 015/200 | Batch 0100/0483 | Loss: 1.5043
Epoch: 015/200 | Batch 0150/0483 | Loss: 1.6225
Epoch: 015/200 | Batch 0200/0483 | Loss: 1.7505
Epoch: 015/200 | Batch 0250/0483 | Loss: 1.6306
Epoch: 015/200 | Batch 0300/0483 | Loss: 1.6623
Epoch: 015/200 | Batch 0350/0483 | Loss: 1.5039
Epoch: 015/200 | Batch 0400/0483 | Loss: 1.5117
Epoch: 015/200 | Batch 0450/0483 | Loss: 1.6638
MAE/RMSE/ACC: Current Valid: 0.81/1.16/41.40 Ep. 15 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.65 min
Epoch: 016/200 | Batch 0000/0483 | Loss: 1.6238
Epoch: 016/200 | Batch 0050/0483 | Loss: 1.6028
Epoch: 016/200 | Batch 0100/0483 | Loss: 1.4157
Epoch: 016/200 | Batch 0150/0483 | Loss: 1.4732
Epoch: 016/200 | Batch 0200/0483 | Loss: 1.6502
Epoch: 016/200 | Batch 0250/0483 | Loss: 1.5315
Epoch: 016/200 | Batch 0300/0483 | Loss: 1.5098
Epoch: 016/200 | Batch 0350/0483 | Loss: 1.3889
Epoch: 016/200 | Batch 0400/0483 | Loss: 1.6132
Epoch: 016/200 | Batch 0450/0483 | Loss: 1.5655
MAE/RMSE/ACC: Current Valid: 0.81/1.16/41.40 Ep. 16 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.70 min
Epoch: 017/200 | Batch 0000/0483 | Loss: 1.5634
Epoch: 017/200 | Batch 0050/0483 | Loss: 1.6145
Epoch: 017/200 | Batch 0100/0483 | Loss: 1.4404
Epoch: 017/200 | Batch 0150/0483 | Loss: 1.5439
Epoch: 017/200 | Batch 0200/0483 | Loss: 1.6464
Epoch: 017/200 | Batch 0250/0483 | Loss: 1.7120
Epoch: 017/200 | Batch 0300/0483 | Loss: 1.4817
Epoch: 017/200 | Batch 0350/0483 | Loss: 1.4441
Epoch: 017/200 | Batch 0400/0483 | Loss: 1.5501
Epoch: 017/200 | Batch 0450/0483 | Loss: 1.6510
MAE/RMSE/ACC: Current Valid: 0.81/1.16/41.40 Ep. 17 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.74 min
Epoch: 018/200 | Batch 0000/0483 | Loss: 1.6040
Epoch: 018/200 | Batch 0050/0483 | Loss: 1.5440
Epoch: 018/200 | Batch 0100/0483 | Loss: 1.4568
Epoch: 018/200 | Batch 0150/0483 | Loss: 1.5140
Epoch: 018/200 | Batch 0200/0483 | Loss: 1.7354
Epoch: 018/200 | Batch 0250/0483 | Loss: 1.7255
Epoch: 018/200 | Batch 0300/0483 | Loss: 1.6218
Epoch: 018/200 | Batch 0350/0483 | Loss: 1.3933
Epoch: 018/200 | Batch 0400/0483 | Loss: 1.5671
Epoch: 018/200 | Batch 0450/0483 | Loss: 1.6000
MAE/RMSE/ACC: Current Valid: 0.81/1.16/41.40 Ep. 18 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.78 min
Epoch: 019/200 | Batch 0000/0483 | Loss: 1.6316
Epoch: 019/200 | Batch 0050/0483 | Loss: 1.5912
Epoch: 019/200 | Batch 0100/0483 | Loss: 1.5885
Epoch: 019/200 | Batch 0150/0483 | Loss: 1.5502
Epoch: 019/200 | Batch 0200/0483 | Loss: 1.6343
Epoch: 019/200 | Batch 0250/0483 | Loss: 1.6276
Epoch: 019/200 | Batch 0300/0483 | Loss: 1.6202
Epoch: 019/200 | Batch 0350/0483 | Loss: 1.4427
Epoch: 019/200 | Batch 0400/0483 | Loss: 1.5734
Epoch: 019/200 | Batch 0450/0483 | Loss: 1.5720
MAE/RMSE/ACC: Current Valid: 0.80/1.15/41.40 Ep. 19 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.82 min
Epoch: 020/200 | Batch 0000/0483 | Loss: 1.5421
Epoch: 020/200 | Batch 0050/0483 | Loss: 1.4583
Epoch: 020/200 | Batch 0100/0483 | Loss: 1.4629
Epoch: 020/200 | Batch 0150/0483 | Loss: 1.5276
Epoch: 020/200 | Batch 0200/0483 | Loss: 1.6631
Epoch: 020/200 | Batch 0250/0483 | Loss: 1.6480
Epoch: 020/200 | Batch 0300/0483 | Loss: 1.6010
Epoch: 020/200 | Batch 0350/0483 | Loss: 1.4230
Epoch: 020/200 | Batch 0400/0483 | Loss: 1.5853
Epoch: 020/200 | Batch 0450/0483 | Loss: 1.5611
MAE/RMSE/ACC: Current Valid: 0.80/1.14/41.40 Ep. 20 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.86 min
Epoch: 021/200 | Batch 0000/0483 | Loss: 1.4669
Epoch: 021/200 | Batch 0050/0483 | Loss: 1.4098
Epoch: 021/200 | Batch 0100/0483 | Loss: 1.5401
Epoch: 021/200 | Batch 0150/0483 | Loss: 1.4862
Epoch: 021/200 | Batch 0200/0483 | Loss: 1.5245
Epoch: 021/200 | Batch 0250/0483 | Loss: 1.6085
Epoch: 021/200 | Batch 0300/0483 | Loss: 1.5294
Epoch: 021/200 | Batch 0350/0483 | Loss: 1.4049
Epoch: 021/200 | Batch 0400/0483 | Loss: 1.5864
Epoch: 021/200 | Batch 0450/0483 | Loss: 1.6554
MAE/RMSE/ACC: Current Valid: 0.81/1.15/41.40 Ep. 21 | Best Valid: 0.79/1.14/41.40 | Ep. 11
Time elapsed: 0.90 min
Epoch: 022/200 | Batch 0000/0483 | Loss: 1.5484
Epoch: 022/200 | Batch 0050/0483 | Loss: 1.4379
Epoch: 022/200 | Batch 0100/0483 | Loss: 1.4068
Epoch: 022/200 | Batch 0150/0483 | Loss: 1.6705
Epoch: 022/200 | Batch 0200/0483 | Loss: 1.6484
Epoch: 022/200 | Batch 0250/0483 | Loss: 1.6026
Epoch: 022/200 | Batch 0300/0483 | Loss: 1.5591
Epoch: 022/200 | Batch 0350/0483 | Loss: 1.4942
Epoch: 022/200 | Batch 0400/0483 | Loss: 1.6290
Epoch: 022/200 | Batch 0450/0483 | Loss: 1.5902
MAE/RMSE/ACC: Current Valid: 0.78/1.12/41.03 Ep. 22 | Best Valid: 0.78/1.12/41.03 | Ep. 22
Time elapsed: 0.94 min
Epoch: 023/200 | Batch 0000/0483 | Loss: 1.5360
Epoch: 023/200 | Batch 0050/0483 | Loss: 1.4152
Epoch: 023/200 | Batch 0100/0483 | Loss: 1.4153
Epoch: 023/200 | Batch 0150/0483 | Loss: 1.7159
Epoch: 023/200 | Batch 0200/0483 | Loss: 1.6107
Epoch: 023/200 | Batch 0250/0483 | Loss: 1.6933
Epoch: 023/200 | Batch 0300/0483 | Loss: 1.6342
Epoch: 023/200 | Batch 0350/0483 | Loss: 1.4059
Epoch: 023/200 | Batch 0400/0483 | Loss: 1.5021
Epoch: 023/200 | Batch 0450/0483 | Loss: 1.5495
MAE/RMSE/ACC: Current Valid: 0.79/1.14/41.03 Ep. 23 | Best Valid: 0.78/1.12/41.03 | Ep. 22
Time elapsed: 0.99 min
Epoch: 024/200 | Batch 0000/0483 | Loss: 1.5656
Epoch: 024/200 | Batch 0050/0483 | Loss: 1.4348
Epoch: 024/200 | Batch 0100/0483 | Loss: 1.4318
Epoch: 024/200 | Batch 0150/0483 | Loss: 1.4585
Epoch: 024/200 | Batch 0200/0483 | Loss: 1.6645
Epoch: 024/200 | Batch 0250/0483 | Loss: 1.6215
Epoch: 024/200 | Batch 0300/0483 | Loss: 1.5659
Epoch: 024/200 | Batch 0350/0483 | Loss: 1.4849
Epoch: 024/200 | Batch 0400/0483 | Loss: 1.5833
Epoch: 024/200 | Batch 0450/0483 | Loss: 1.6005
MAE/RMSE/ACC: Current Valid: 0.80/1.13/41.03 Ep. 24 | Best Valid: 0.78/1.12/41.03 | Ep. 22
Time elapsed: 1.03 min
Epoch: 025/200 | Batch 0000/0483 | Loss: 1.6095
Epoch: 025/200 | Batch 0050/0483 | Loss: 1.5066
Epoch: 025/200 | Batch 0100/0483 | Loss: 1.4869
Epoch: 025/200 | Batch 0150/0483 | Loss: 1.5654
Epoch: 025/200 | Batch 0200/0483 | Loss: 1.4983
Epoch: 025/200 | Batch 0250/0483 | Loss: 1.6758
Epoch: 025/200 | Batch 0300/0483 | Loss: 1.6161
Epoch: 025/200 | Batch 0350/0483 | Loss: 1.4042
Epoch: 025/200 | Batch 0400/0483 | Loss: 1.5525
Epoch: 025/200 | Batch 0450/0483 | Loss: 1.5816
MAE/RMSE/ACC: Current Valid: 0.81/1.15/41.03 Ep. 25 | Best Valid: 0.78/1.12/41.03 | Ep. 22
Time elapsed: 1.07 min
Epoch: 026/200 | Batch 0000/0483 | Loss: 1.4998
Epoch: 026/200 | Batch 0050/0483 | Loss: 1.5213
Epoch: 026/200 | Batch 0100/0483 | Loss: 1.5632
Epoch: 026/200 | Batch 0150/0483 | Loss: 1.5992
Epoch: 026/200 | Batch 0200/0483 | Loss: 1.6712
Epoch: 026/200 | Batch 0250/0483 | Loss: 1.6747
Epoch: 026/200 | Batch 0300/0483 | Loss: 1.5302
Epoch: 026/200 | Batch 0350/0483 | Loss: 1.4336
Epoch: 026/200 | Batch 0400/0483 | Loss: 1.5031
Epoch: 026/200 | Batch 0450/0483 | Loss: 1.5384
MAE/RMSE/ACC: Current Valid: 0.81/1.16/41.03 Ep. 26 | Best Valid: 0.78/1.12/41.03 | Ep. 22
Time elapsed: 1.11 min
Epoch: 027/200 | Batch 0000/0483 | Loss: 1.5790
Epoch: 027/200 | Batch 0050/0483 | Loss: 1.5678
Epoch: 027/200 | Batch 0100/0483 | Loss: 1.4702
Epoch: 027/200 | Batch 0150/0483 | Loss: 1.5482
Epoch: 027/200 | Batch 0200/0483 | Loss: 1.7224
Epoch: 027/200 | Batch 0250/0483 | Loss: 1.5244
Epoch: 027/200 | Batch 0300/0483 | Loss: 1.5609
