This script: mlp-coral.py
PyTorch Version: 1.8.0
Random seed: 2
Learning rate: 0.0005
Epochs: 200
Batch size: 64
Output path: runs/coral/mlp-coral-seed2-epochs200-batchsize64-learningrate0.0005_best-rmse
Epoch: 001/200 | Batch 0000/0483 | Loss: 10.6918
Epoch: 001/200 | Batch 0050/0483 | Loss: 8.0487
Epoch: 001/200 | Batch 0100/0483 | Loss: 7.6539
Epoch: 001/200 | Batch 0150/0483 | Loss: 7.5327
Epoch: 001/200 | Batch 0200/0483 | Loss: 7.3749
Epoch: 001/200 | Batch 0250/0483 | Loss: 7.4902
Epoch: 001/200 | Batch 0300/0483 | Loss: 7.1317
Epoch: 001/200 | Batch 0350/0483 | Loss: 6.9245
Epoch: 001/200 | Batch 0400/0483 | Loss: 7.2746
Epoch: 001/200 | Batch 0450/0483 | Loss: 7.1044
MAE/RMSE/ACC: Current Valid: 3.06/3.86/15.05 Ep. 1 | Best Valid: 3.06/3.86/15.05 | Ep. 1
Time elapsed: 0.06 min
Epoch: 002/200 | Batch 0000/0483 | Loss: 6.9398
Epoch: 002/200 | Batch 0050/0483 | Loss: 6.7936
Epoch: 002/200 | Batch 0100/0483 | Loss: 6.5577
Epoch: 002/200 | Batch 0150/0483 | Loss: 6.6625
Epoch: 002/200 | Batch 0200/0483 | Loss: 6.4961
Epoch: 002/200 | Batch 0250/0483 | Loss: 6.5873
Epoch: 002/200 | Batch 0300/0483 | Loss: 6.4647
Epoch: 002/200 | Batch 0350/0483 | Loss: 6.2755
Epoch: 002/200 | Batch 0400/0483 | Loss: 6.4512
Epoch: 002/200 | Batch 0450/0483 | Loss: 6.2637
MAE/RMSE/ACC: Current Valid: 2.54/3.25/15.91 Ep. 2 | Best Valid: 2.54/3.25/15.91 | Ep. 2
Time elapsed: 0.11 min
Epoch: 003/200 | Batch 0000/0483 | Loss: 6.2482
Epoch: 003/200 | Batch 0050/0483 | Loss: 6.2763
Epoch: 003/200 | Batch 0100/0483 | Loss: 6.0936
Epoch: 003/200 | Batch 0150/0483 | Loss: 5.9524
Epoch: 003/200 | Batch 0200/0483 | Loss: 6.0389
Epoch: 003/200 | Batch 0250/0483 | Loss: 5.9288
Epoch: 003/200 | Batch 0300/0483 | Loss: 5.8974
Epoch: 003/200 | Batch 0350/0483 | Loss: 5.7146
Epoch: 003/200 | Batch 0400/0483 | Loss: 5.8639
Epoch: 003/200 | Batch 0450/0483 | Loss: 5.8588
