This script: mlp-cross-entropy.py
PyTorch Version: 1.8.0
Random seed: 4
Learning rate: 0.0005
Epochs: 200
Batch size: 64
Output path: runs/xentr/mlp-xentr-seed4-epochs200-batchsize64-learningrate0.0005_best-rmse
Epoch: 001/200 | Batch 0000/0483 | Loss: 2.9580
Epoch: 001/200 | Batch 0050/0483 | Loss: 2.4802
Epoch: 001/200 | Batch 0100/0483 | Loss: 2.2577
Epoch: 001/200 | Batch 0150/0483 | Loss: 2.3037
Epoch: 001/200 | Batch 0200/0483 | Loss: 2.1723
Epoch: 001/200 | Batch 0250/0483 | Loss: 2.2381
Epoch: 001/200 | Batch 0300/0483 | Loss: 2.2116
Epoch: 001/200 | Batch 0350/0483 | Loss: 1.9838
Epoch: 001/200 | Batch 0400/0483 | Loss: 2.1416
Epoch: 001/200 | Batch 0450/0483 | Loss: 2.1834
MAE/RMSE/ACC: Current Valid: 1.42/2.06/28.99 Ep. 1 | Best Valid: 1.42/2.06/28.99 | Ep. 1
Time elapsed: 0.04 min
Epoch: 002/200 | Batch 0000/0483 | Loss: 1.9938
Epoch: 002/200 | Batch 0050/0483 | Loss: 2.0074
Epoch: 002/200 | Batch 0100/0483 | Loss: 1.8496
Epoch: 002/200 | Batch 0150/0483 | Loss: 1.9063
Epoch: 002/200 | Batch 0200/0483 | Loss: 1.8954
Epoch: 002/200 | Batch 0250/0483 | Loss: 1.8707
Epoch: 002/200 | Batch 0300/0483 | Loss: 1.9917
Epoch: 002/200 | Batch 0350/0483 | Loss: 1.7821
Epoch: 002/200 | Batch 0400/0483 | Loss: 1.8014
Epoch: 002/200 | Batch 0450/0483 | Loss: 1.9541
MAE/RMSE/ACC: Current Valid: 1.13/1.67/34.58 Ep. 2 | Best Valid: 1.13/1.67/34.58 | Ep. 2
Time elapsed: 0.08 min
Epoch: 003/200 | Batch 0000/0483 | Loss: 1.8922
Epoch: 003/200 | Batch 0050/0483 | Loss: 1.7971
Epoch: 003/200 | Batch 0100/0483 | Loss: 1.6125
Epoch: 003/200 | Batch 0150/0483 | Loss: 1.7400
Epoch: 003/200 | Batch 0200/0483 | Loss: 1.9262
Epoch: 003/200 | Batch 0250/0483 | Loss: 1.7413
Epoch: 003/200 | Batch 0300/0483 | Loss: 1.8120
Epoch: 003/200 | Batch 0350/0483 | Loss: 1.6096
Epoch: 003/200 | Batch 0400/0483 | Loss: 1.7567
Epoch: 003/200 | Batch 0450/0483 | Loss: 1.9618
MAE/RMSE/ACC: Current Valid: 1.03/1.49/35.93 Ep. 3 | Best Valid: 1.03/1.49/35.93 | Ep. 3
Time elapsed: 0.13 min
Epoch: 004/200 | Batch 0000/0483 | Loss: 1.6919
Epoch: 004/200 | Batch 0050/0483 | Loss: 1.8188
Epoch: 004/200 | Batch 0100/0483 | Loss: 1.6164
Epoch: 004/200 | Batch 0150/0483 | Loss: 1.6776
Epoch: 004/200 | Batch 0200/0483 | Loss: 1.6522
Epoch: 004/200 | Batch 0250/0483 | Loss: 1.7162
Epoch: 004/200 | Batch 0300/0483 | Loss: 1.7139
Epoch: 004/200 | Batch 0350/0483 | Loss: 1.6536
Epoch: 004/200 | Batch 0400/0483 | Loss: 1.7501
Epoch: 004/200 | Batch 0450/0483 | Loss: 1.7528
MAE/RMSE/ACC: Current Valid: 0.92/1.32/37.84 Ep. 4 | Best Valid: 0.92/1.32/37.84 | Ep. 4
Time elapsed: 0.17 min
Epoch: 005/200 | Batch 0000/0483 | Loss: 1.7525
Epoch: 005/200 | Batch 0050/0483 | Loss: 1.6845
Epoch: 005/200 | Batch 0100/0483 | Loss: 1.6161
Epoch: 005/200 | Batch 0150/0483 | Loss: 1.7099
Epoch: 005/200 | Batch 0200/0483 | Loss: 1.8709
Epoch: 005/200 | Batch 0250/0483 | Loss: 1.6736
Epoch: 005/200 | Batch 0300/0483 | Loss: 1.7144
Epoch: 005/200 | Batch 0350/0483 | Loss: 1.5386
Epoch: 005/200 | Batch 0400/0483 | Loss: 1.6296
Epoch: 005/200 | Batch 0450/0483 | Loss: 1.7998
MAE/RMSE/ACC: Current Valid: 0.91/1.29/36.67 Ep. 5 | Best Valid: 0.91/1.29/36.67 | Ep. 5
Time elapsed: 0.22 min
Epoch: 006/200 | Batch 0000/0483 | Loss: 1.6735
Epoch: 006/200 | Batch 0050/0483 | Loss: 1.6815
Epoch: 006/200 | Batch 0100/0483 | Loss: 1.5892
Epoch: 006/200 | Batch 0150/0483 | Loss: 1.6320
Epoch: 006/200 | Batch 0200/0483 | Loss: 1.7772
Epoch: 006/200 | Batch 0250/0483 | Loss: 1.7481
Epoch: 006/200 | Batch 0300/0483 | Loss: 1.7020
Epoch: 006/200 | Batch 0350/0483 | Loss: 1.5666
Epoch: 006/200 | Batch 0400/0483 | Loss: 1.7014
Epoch: 006/200 | Batch 0450/0483 | Loss: 1.6874
MAE/RMSE/ACC: Current Valid: 0.84/1.21/38.94 Ep. 6 | Best Valid: 0.84/1.21/38.94 | Ep. 6
Time elapsed: 0.26 min
Epoch: 007/200 | Batch 0000/0483 | Loss: 1.6600
Epoch: 007/200 | Batch 0050/0483 | Loss: 1.5500
Epoch: 007/200 | Batch 0100/0483 | Loss: 1.6187
Epoch: 007/200 | Batch 0150/0483 | Loss: 1.5603
Epoch: 007/200 | Batch 0200/0483 | Loss: 1.7756
Epoch: 007/200 | Batch 0250/0483 | Loss: 1.5680
Epoch: 007/200 | Batch 0300/0483 | Loss: 1.5677
Epoch: 007/200 | Batch 0350/0483 | Loss: 1.5812
Epoch: 007/200 | Batch 0400/0483 | Loss: 1.6381
Epoch: 007/200 | Batch 0450/0483 | Loss: 1.7262
MAE/RMSE/ACC: Current Valid: 0.83/1.19/39.86 Ep. 7 | Best Valid: 0.83/1.19/39.86 | Ep. 7
Time elapsed: 0.30 min
Epoch: 008/200 | Batch 0000/0483 | Loss: 1.6735
Epoch: 008/200 | Batch 0050/0483 | Loss: 1.5445
Epoch: 008/200 | Batch 0100/0483 | Loss: 1.5134
